Date,Price,Open,High,Low,Volume,Chg%,VIX
"Apr 28, 2014","13,081.55","13,038.95","13,116.00","12,927.75",29.68M,0.36%,31.39
"Apr 25, 2014","13,034.50","13,134.50","13,268.60","12,968.80",40.06M,-0.67%,30.68
"Apr 23, 2014","13,122.10","12,961.35","13,176.05","12,957.90",49.61M,1.04%,31.13
"Apr 22, 2014","12,987.10","12,989.55","13,040.15","12,913.90",24.79M,0.22%,33.36
"Apr 21, 2014","12,958.50","12,845.30","13,002.75","12,838.85",30.12M,1.34%,34.39
"Apr 17, 2014","12,787.25","12,564.55","12,819.10","12,514.80",32.61M,1.78%,30.85
"Apr 16, 2014","12,563.15","12,557.40","12,727.05","12,514.75",30.57M,-0.13%,31.16
"Apr 15, 2014","12,579.90","12,830.50","12,831.60","12,537.70",27.14M,-2.03%,31.88
"Apr 11, 2014","12,840.20","12,822.25","12,934.90","12,777.95",24.95M,-0.84%,29.19
"Apr 10, 2014","12,949.40","12,937.40","13,055.60","12,881.20",38.38M,0.09%,28.72
"Apr 09, 2014","12,937.40","12,593.15","12,957.55","12,548.45",40.09M,3.45%,26.91
"Apr 07, 2014","12,506.45","12,562.35","12,615.35","12,439.55",27.57M,-0.36%,24.95
"Apr 04, 2014","12,551.70","12,523.30","12,656.50","12,430.85",29.59M,-0.10%,22.69
"Apr 03, 2014","12,563.85","12,749.85","12,754.75","12,518.00",35.36M,-1.19%,22.11
"Apr 02, 2014","12,715.30","12,674.35","12,740.15","12,542.35",40.38M,1.01%,21.21
"Apr 01, 2014","12,588.50","12,806.15","12,806.15","12,509.95",37.85M,-1.21%,20.69
"Mar 31, 2014","12,742.05","12,855.50","12,869.35","12,660.05",40.63M,-0.10%,21.62
"Mar 28, 2014","12,754.70","12,693.25","12,787.50","12,633.30",48.62M,1.19%,18.63
"Mar 27, 2014","12,604.95","12,560.90","12,767.50","12,513.10",55.37M,0.69%,18.37
"Mar 26, 2014","12,518.35","12,529.45","12,570.60","12,469.15",36.25M,0.55%,17.77
"Mar 25, 2014","12,450.00","12,403.65","12,523.70","12,394.30",24.97M,0.34%,16.92
"Mar 24, 2014","12,408.15","12,134.65","12,423.00","12,134.65",30.97M,2.75%,16.54
"Mar 22, 2014","12,075.80","12,111.85","12,111.85","12,061.65",1.62M,-0.14%,15.88
"Mar 21, 2014","12,092.35","12,083.45","12,123.15","12,043.40",33.49M,0.62%,16.19
"Mar 20, 2014","12,017.25","12,160.65","12,160.65","11,989.95",22.77M,-1.39%,16.91
"Mar 19, 2014","12,186.55","12,190.85","12,256.45","12,132.40",33.28M,0.59%,16.88
